126195 clean 884
702397 selfint 2228
567041 clean 1044
76199 clean 216
133077 selfint 263496
85887 nmV,nmE,multi,selfint 26676
52135 clean 4
178199 clean 4706
110375 multi 1540
54226 multi 212
621686 clean 16046
191081 multi 3668
225978 clean 3076
816594 multi,selfint 101304
1146162 clean 694
1093113 degen,multi,selfint 296
57332 multi 2884
48132 clean 572
40992 clean 56528
472133 clean 4866
65608 clean 318
1458688 clean 7736
80368 selfint 1592
132432 nmV,selfint 290080
1582415 clean 116
956446 clean 34450
106683 clean 1096
931879 selfint 5000
129920 clean 1566
77190 multi,selfint 3280
789795 selfint 182984
60265 clean 608
72087 multi,selfint 41714
93882 multi,selfint 11756
88614 clean 3076
208722 degen,multi,selfint 504
69707 selfint 107926
106039 clean 388
674846 clean 776
65643 clean 284
73412 clean 3350
65904 multi 157726
135675 clean 19678
1211693 nmV,nmE,degen,unoriented,selfint 361
1356638 degen,selfint 62270
118916 clean 4746
132449 multi 1920
72612 nmV,nmE,degen,unoriented 1344
121404 multi 2568
65444 clean 4608
1036311 clean 2208
60584 clean 996
1411689 degen,selfint 200000
48340 multi 452
80610 nmV,nmE,degen,unoriented,selfint 1390
84640 clean 932
814661 clean 2830
1036657 clean 8956
702407 clean 1752
58392 degen,selfint 644
428602 clean 25736
109131 multi 8340
68813 clean 584
238415 nmV,nmE,selfint 12032
247517 nmV,selfint 145636
97941 clean 278
69107 multi,selfint 1986
1582393 clean 1708
132053 nmV,selfint 2628
94215 multi 12096
101881 nmV,nmE 56946
514852 clean 6140
82326 selfint 35384
89474 selfint 102404
97597 degen,selfint 580
1009280 degen,selfint 2046
470464 clean 75806
110358 clean 1056
85430 clean 5354
849726 clean 868
96771 replacement 672
1036468 replacement 4592
